time,x,Pressure
0,672,6.46499e+06
0,680,6.4644e+06
0,688,6.46381e+06
0,696,6.46322e+06
0,704,6.46263e+06
0,712,6.46204e+06
0,720,6.46145e+06
0,728,6.46085e+06
0,736,6.46026e+06
0,744,6.45967e+06
0,752,6.45908e+06
0,760,6.45849e+06
0,768,6.4579e+06
0,776,6.45731e+06
0,784,6.45671e+06
0,792,6.45612e+06
0,800,6.45553e+06
0,808,6.45494e+06
0,816,6.45435e+06
0,824,6.45376e+06
0,832,6.45317e+06
0,840,6.45257e+06
0,848,6.45198e+06
0,856,6.45139e+06
0,864,6.4508e+06
0,872,6.45021e+06
0,880,6.44962e+06
0,888,6.44903e+06
0,896,6.44843e+06
0,904,6.44784e+06
0,912,6.44725e+06
0,920,6.44666e+06
0,928,6.44607e+06
0,936,6.44548e+06
0,944,6.44489e+06
0,952,6.44429e+06
0,960,6.4437e+06
0,968,6.44311e+06
0,976,6.44252e+06
0,984,6.44193e+06
0,992,6.44134e+06
0,1000,6.44074e+06
0,1008,6.44015e+06
0,1016,6.43956e+06
0,1024,6.43897e+06
0,1032,6.43838e+06
0,1040,6.43779e+06
0,1048,6.4372e+06
0,1056,6.4366e+06
0,1064,6.43601e+06
0,1072,6.43542e+06
0,1080,6.43483e+06
0,1088,6.43424e+06
0,1096,6.43365e+06
0,1104,6.43306e+06
0,1112,6.43246e+06
0,1120,6.43187e+06
0,1128,6.43128e+06
0,1136,6.43069e+06
0,1144,6.4301e+06
0,1152,6.42951e+06
0,1160,6.42892e+06
0,1168,6.42832e+06
0,1176,6.42773e+06
0,1184,6.42714e+06
0,1192,6.42655e+06
0,1200,6.42596e+06
0,1208,6.42537e+06
0,1216,6.42478e+06
0,1224,6.42418e+06
0,1232,6.42359e+06
0,1240,6.423e+06
0,1248,6.42241e+06
0,1256,6.42182e+06
0,1264,6.42123e+06
0,1272,6.42063e+06
0,1280,6.42004e+06
0,1288,6.41945e+06
0,1296,6.41886e+06
0,1304,6.41827e+06
0,1312,6.41768e+06
0,1320,6.41709e+06
0,1328,6.41649e+06
0,1336,6.4159e+06
0,1344,6.41531e+06
0,1352,6.41472e+06
0,1360,6.41413e+06
0,1368,6.41354e+06
0,1376,6.41295e+06
0,1384,6.41235e+06
0,1392,6.41176e+06
0,1400,6.41117e+06
0,1408,6.41058e+06
0,1416,6.40999e+06
0,1424,6.4094e+06
0,1432,6.40881e+06
0,1440,6.40821e+06
0,1448,6.40762e+06
0,1456,6.40703e+06
0,1464,6.40644e+06
0,1472,6.40585e+06
0,1480,6.40526e+06
0,1488,6.40467e+06
0,1496,6.40407e+06
0,1504,6.40348e+06
0,1512,6.40289e+06
0,1520,6.4023e+06
0,1528,6.40171e+06
0,1536,6.40112e+06
0,1544,6.40053e+06
0,1552,6.39993e+06
0,1560,6.39934e+06
0,1568,6.39875e+06
0,1576,6.39816e+06
0,1584,6.39757e+06
0,1592,6.39698e+06
0,1600,6.39638e+06
0,1608,6.39579e+06
0,1616,6.3952e+06
0,1624,6.39461e+06
0,1632,6.39402e+06
0,1640,6.39343e+06
0,1648,6.39284e+06
0,1656,6.39224e+06
0,1664,6.39165e+06
0,1672,6.39106e+06
0,1680,6.39047e+06
0,1688,6.38988e+06
0,1696,6.38929e+06
