time,x,Pressure
0,30480,4.26119e+06
0,30560,4.25527e+06
0,30640,4.24936e+06
0,30720,4.24344e+06
0,30800,4.23753e+06
0,30880,4.23161e+06
0,30960,4.2257e+06
0,31040,4.21978e+06
0,31120,4.21387e+06
0,31200,4.20795e+06
0,31280,4.20204e+06
0,31360,4.19612e+06
0,31440,4.19021e+06
0,31520,4.1843e+06
0,31600,4.17838e+06
0,31680,4.17247e+06
0,31760,4.16655e+06
0,31840,4.16064e+06
0,31920,4.15472e+06
0,32000,4.14881e+06
0,32080,4.14289e+06
0,32160,4.13698e+06
0,32240,4.13106e+06
0,32320,4.12515e+06
0,32400,4.11923e+06
0,32480,4.11332e+06
0,32560,4.1074e+06
0,32640,4.10149e+06
0,32720,4.09557e+06
0,32800,4.08966e+06
0,32880,4.08375e+06
0,32960,4.07783e+06
0,33040,4.07192e+06
0,33120,4.066e+06
0,33200,4.06009e+06
0,33280,4.05417e+06
0,33360,4.04826e+06
0,33440,4.04234e+06
0,33520,4.03643e+06
0,33600,4.03051e+06
0,33680,4.0246e+06
0,33760,4.01868e+06
0,33840,4.01277e+06
0,33920,4.00685e+06
0,34000,4.00094e+06
0,34080,3.99503e+06
0,34160,3.98911e+06
0,34240,3.9832e+06
0,34320,3.97728e+06
0,34400,3.97137e+06
0,34480,3.96545e+06
0,34560,3.95954e+06
0,34640,3.95362e+06
0,34720,3.94771e+06
0,34800,3.94179e+06
0,34880,3.93588e+06
0,34960,3.92996e+06
0,35040,3.92405e+06
0,35120,3.91813e+06
0,35200,3.91222e+06
0,35280,3.90631e+06
0,35360,3.90039e+06
0,35440,3.89448e+06
0,35520,3.88856e+06
0,35600,3.88265e+06
0,35680,3.87673e+06
0,35760,3.87082e+06
0,35840,3.8649e+06
0,35920,3.85899e+06
0,36000,3.85307e+06
0,36080,3.84716e+06
0,36160,3.84124e+06
0,36240,3.83533e+06
0,36320,3.82941e+06
0,36400,3.8235e+06
0,36480,3.81758e+06
0,36560,3.81167e+06
0,36640,3.80576e+06
0,36720,3.79984e+06
0,36800,3.79393e+06
0,36880,3.78801e+06
0,36960,3.7821e+06
0,37040,3.77618e+06
0,37120,3.77027e+06
0,37200,3.76435e+06
0,37280,3.75844e+06
0,37360,3.75252e+06
0,37440,3.74661e+06
0,37520,3.74069e+06
0,37600,3.73478e+06
0,37680,3.72886e+06
0,37760,3.72295e+06
0,37840,3.71704e+06
0,37920,3.71112e+06
0,38000,3.70521e+06
0,38080,3.69929e+06
0,38160,3.69338e+06
